transfer_id,created_at,creator,deleted_at,update_request_id,updated_at,updater,actual_fee,amount,confirmations,currency,direction,ext_tx_id,extra_info_chunk,memo,native_price,status,user_fee,user_id,wallet_balance,payment_method_id,wallet_id,type,version
airdrop-20181115-hdac-027c894b-931d-4030-b76a-fb193146e8a2-withdrawal-exchange,2018.11.15 10:11,UNKNOWN,,UNKNOWN-55c0f2b7-dc24-425b-9be8-6b86719f2865,2018.11.15 10:11,UNKNOWN,0,100,0,HDAC,WITHDRAWAL,,,,0,COMPLETED,0,sum-user-id,1997407.718,airdrop-20181115-hdac-sum-user-id-withdrawal,accac570-de75-11e8-bd11-2f9252c4dc2f,AIRDROP,0
airdrop-20181115-hdac-0291625d-c3db-47b1-a516-44074d7b9477-withdrawal-exchange,2018.11.15 10:11,UNKNOWN,,UNKNOWN-55c0f2b7-dc24-425b-9be8-6b86719f2865,2018.11.15 10:11,UNKNOWN,0,100,0,HDAC,WITHDRAWAL,,,,0,COMPLETED,0,sum-user-id,1997307.718,airdrop-20181115-hdac-sum-user-id-withdrawal,accac570-de75-11e8-bd11-2f9252c4dc2f,AIRDROP,0
airdrop-20181115-hdac-0297651f-0d9a-41a5-a2e3-39991f4b0f81-withdrawal-exchange,2018.11.15 10:11,UNKNOWN,,UNKNOWN-55c0f2b7-dc24-425b-9be8-6b86719f2865,2018.11.15 10:11,UNKNOWN,0,100,0,HDAC,WITHDRAWAL,,,,0,COMPLETED,0,sum-user-id,1997207.718,airdrop-20181115-hdac-sum-user-id-withdrawal,accac570-de75-11e8-bd11-2f9252c4dc2f,AIRDROP,0
airdrop-20181115-hdac-02adde47-06eb-42b1-839e-9b2be0851d0f-withdrawal-exchange,2018.11.15 10:11,UNKNOWN,,UNKNOWN-55c0f2b7-dc24-425b-9be8-6b86719f2865,2018.11.15 10:11,UNKNOWN,0,100,0,HDAC,WITHDRAWAL,,,,0,COMPLETED,0,sum-user-id,1997107.718,airdrop-20181115-hdac-sum-user-id-withdrawal,accac570-de75-11e8-bd11-2f9252c4dc2f,AIRDROP,0
airdrop-20181115-hdac-02bd5e4a-85f8-4e1a-a83b-cd212acfc81e-withdrawal-exchange,2018.11.15 10:11,UNKNOWN,,UNKNOWN-55c0f2b7-dc24-425b-9be8-6b86719f2865,2018.11.15 10:11,UNKNOWN,0,100,0,HDAC,WITHDRAWAL,,,,0,COMPLETED,0,sum-user-id,1997007.718,airdrop-20181115-hdac-sum-user-id-withdrawal,accac570-de75-11e8-bd11-2f9252c4dc2f,AIRDROP,0
airdrop-20181115-hdac-02d30aac-e240-41ae-a389-4c0a0e0bafbb-withdrawal-exchange,2018.11.15 10:11,UNKNOWN,,UNKNOWN-55c0f2b7-dc24-425b-9be8-6b86719f2865,2018.11.15 10:11,UNKNOWN,0,100,0,HDAC,WITHDRAWAL,,,,0,COMPLETED,0,sum-user-id,1996907.718,airdrop-20181115-hdac-sum-user-id-withdrawal,accac570-de75-11e8-bd11-2f9252c4dc2f,AIRDROP,0
airdrop-20181115-hdac-02d75f43-df4b-46c2-8c82-d0a02f9b3195-withdrawal-exchange,2018.11.15 10:11,UNKNOWN,,UNKNOWN-55c0f2b7-dc24-425b-9be8-6b86719f2865,2018.11.15 10:11,UNKNOWN,0,100,0,HDAC,WITHDRAWAL,,,,0,COMPLETED,0,sum-user-id,1996807.718,airdrop-20181115-hdac-sum-user-id-withdrawal,accac570-de75-11e8-bd11-2f9252c4dc2f,AIRDROP,0
airdrop-20181115-hdac-02d773b9-e8f1-436b-b207-59431593fb5e-withdrawal-exchange,2018.11.15 10:11,UNKNOWN,,UNKNOWN-55c0f2b7-dc24-425b-9be8-6b86719f2865,2018.11.15 10:11,UNKNOWN,0,100,0,HDAC,WITHDRAWAL,,,,0,COMPLETED,0,sum-user-id,1996707.718,airdrop-20181115-hdac-sum-user-id-withdrawal,accac570-de75-11e8-bd11-2f9252c4dc2f,AIRDROP,0
airdrop-20181115-hdac-02e2b1d3-3440-41a0-aa4d-ea208603bb69-withdrawal-exchange,2018.11.15 10:11,UNKNOWN,,UNKNOWN-55c0f2b7-dc24-425b-9be8-6b86719f2865,2018.11.15 10:11,UNKNOWN,0,100,0,HDAC,WITHDRAWAL,,,,0,COMPLETED,0,sum-user-id,1996607.718,airdrop-20181115-hdac-sum-user-id-withdrawal,accac570-de75-11e8-bd11-2f9252c4dc2f,AIRDROP,0
airdrop-20181115-hdac-0303a584-2ac0-4b47-9bb2-c67d48ad959b-withdrawal-exchange,2018.11.15 10:11,UNKNOWN,,UNKNOWN-55c0f2b7-dc24-425b-9be8-6b86719f2865,2018.11.15 10:11,UNKNOWN,0,100,0,HDAC,WITHDRAWAL,,,,0,COMPLETED,0,sum-user-id,1996507.718,airdrop-20181115-hdac-sum-user-id-withdrawal,accac570-de75-11e8-bd11-2f9252c4dc2f,AIRDROP,0
airdrop-20181115-hdac-031e33df-7f53-4769-8dbe-32f209e68800-withdrawal-exchange,2018.11.15 10:11,UNKNOWN,,UNKNOWN-55c0f2b7-dc24-425b-9be8-6b86719f2865,2018.11.15 10:11,UNKNOWN,0,100,0,HDAC,WITHDRAWAL,,,,0,COMPLETED,0,sum-user-id,1996407.718,airdrop-20181115-hdac-sum-user-id-withdrawal,accac570-de75-11e8-bd11-2f9252c4dc2f,AIRDROP,0
airdrop-20181115-hdac-031e6503-44bc-4482-a4a2-1de687dddc6e-withdrawal-exchange,2018-11-15 10:11:08.009,UNKNOWN,,UNKNOWN-55c0f2b7-dc24-425b-9be8-6b86719f2865,2018-11-15 10:11:08.009,UNKNOWN,0,100,0,HDAC,WITHDRAWAL,,,,0,COMPLETED,0,sum-user-id,1996307.718,airdrop-20181115-hdac-sum-user-id-withdrawal,accac570-de75-11e8-bd11-2f9252c4dc2f,AIRDROP,0
airdrop-20181115-hdac-03294505-70cf-435b-b548-494b098c4061-withdrawal-exchange,2018-11-15 10:11:08.047,UNKNOWN,,UNKNOWN-55c0f2b7-dc24-425b-9be8-6b86719f2865,2018-11-15 10:11:08.047,UNKNOWN,0,100,0,HDAC,WITHDRAWAL,,,,0,COMPLETED,0,sum-user-id,1996207.718,airdrop-20181115-hdac-sum-user-id-withdrawal,accac570-de75-11e8-bd11-2f9252c4dc2f,AIRDROP,0
airdrop-20181115-hdac-0333c40d-1b07-49f6-9ca5-1bfec245000f-withdrawal-exchange,2018-11-15 10:11:08.092,UNKNOWN,,UNKNOWN-55c0f2b7-dc24-425b-9be8-6b86719f2865,2018-11-15 10:11:08.092,UNKNOWN,0,100,0,HDAC,WITHDRAWAL,,,,0,COMPLETED,0,sum-user-id,1996107.718,airdrop-20181115-hdac-sum-user-id-withdrawal,accac570-de75-11e8-bd11-2f9252c4dc2f,AIRDROP,0
airdrop-20181115-hdac-03431c5f-4006-4ef7-ac57-ce4d89964c97-withdrawal-exchange,2018.11.15 10:11,UNKNOWN,,UNKNOWN-55c0f2b7-dc24-425b-9be8-6b86719f2865,2018.11.15 10:11,UNKNOWN,0,100,0,HDAC,WITHDRAWAL,,,,0,COMPLETED,0,sum-user-id,1996007.718,airdrop-20181115-hdac-sum-user-id-withdrawal,accac570-de75-11e8-bd11-2f9252c4dc2f,AIRDROP,0
airdrop-20181115-hdac-034bade2-27bb-4bd8-9e55-d29834133135-withdrawal-exchange,2018.11.15 10:11,UNKNOWN,,UNKNOWN-55c0f2b7-dc24-425b-9be8-6b86719f2865,2018.11.15 10:11,UNKNOWN,0,100,0,HDAC,WITHDRAWAL,,,,0,COMPLETED,0,sum-user-id,1995907.718,airdrop-20181115-hdac-sum-user-id-withdrawal,accac570-de75-11e8-bd11-2f9252c4dc2f,AIRDROP,0
airdrop-20181115-hdac-036c8913-d8ca-4e23-958c-bfacfac59813-withdrawal-exchange,2018.11.15 10:11,UNKNOWN,,UNKNOWN-55c0f2b7-dc24-425b-9be8-6b86719f2865,2018.11.15 10:11,UNKNOWN,0,100,0,HDAC,WITHDRAWAL,,,,0,COMPLETED,0,sum-user-id,1995807.718,airdrop-20181115-hdac-sum-user-id-withdrawal,accac570-de75-11e8-bd11-2f9252c4dc2f,AIRDROP,0
airdrop-20181115-hdac-03817d30-7400-467e-8415-442732991cf2-withdrawal-exchange,2018.11.15 10:11,UNKNOWN,,UNKNOWN-55c0f2b7-dc24-425b-9be8-6b86719f2865,2018.11.15 10:11,UNKNOWN,0,100,0,HDAC,WITHDRAWAL,,,,0,COMPLETED,0,sum-user-id,1995707.718,airdrop-20181115-hdac-sum-user-id-withdrawal,accac570-de75-11e8-bd11-2f9252c4dc2f,AIRDROP,0
airdrop-20181115-hdac-0383526e-4bd3-4bfa-9ed8-ff5b21c81446-withdrawal-exchange,2018.11.15 10:11,UNKNOWN,,UNKNOWN-55c0f2b7-dc24-425b-9be8-6b86719f2865,2018.11.15 10:11,UNKNOWN,0,100,0,HDAC,WITHDRAWAL,,,,0,COMPLETED,0,sum-user-id,1995607.718,airdrop-20181115-hdac-sum-user-id-withdrawal,accac570-de75-11e8-bd11-2f9252c4dc2f,AIRDROP,0
airdrop-20181115-hdac-0391bd70-f15e-43db-bd91-e523f602a7e1-withdrawal-exchange,2018.11.15 10:11,UNKNOWN,,UNKNOWN-55c0f2b7-dc24-425b-9be8-6b86719f2865,2018.11.15 10:11,UNKNOWN,0,100,0,HDAC,WITHDRAWAL,,,,0,COMPLETED,0,sum-user-id,1995507.718,airdrop-20181115-hdac-sum-user-id-withdrawal,accac570-de75-11e8-bd11-2f9252c4dc2f,AIRDROP,0
airdrop-20181115-hdac-03bb69b3-dea1-4731-afe0-eaf7d527f6a2-withdrawal-exchange,2018.11.15 10:11,UNKNOWN,,UNKNOWN-55c0f2b7-dc24-425b-9be8-6b86719f2865,2018.11.15 10:11,UNKNOWN,0,100,0,HDAC,WITHDRAWAL,,,,0,COMPLETED,0,sum-user-id,1995407.718,airdrop-20181115-hdac-sum-user-id-withdrawal,accac570-de75-11e8-bd11-2f9252c4dc2f,AIRDROP,0
